Code,Name
1-1,AGIA TRIADA
3-1,KIPI
62-1,NEA MESIMVRIA
2-1,SIDIROKASTRO
42-2,AG. THEODOROI
20-2,ATHENS
4-2,ALEXANDROUPOLIS
41-2,ALIVERI (PPC)
33-2,ALOYMINION
38-2,ALOYMINION II
40-2,ALOYMINION III
24-2,VIPE LARISSA
25-2,VOLOS
6-2,VFL
13-2,DRAMA
8-2,ELPE
45-2,ELPE-VEE
43-2,ELPE-HAR
9-2,ENERGIAKI THESS. (ELPE)
21-2,HERONAS
36-2,HERON II
7-2,THESSALONIKI
37-2,THISVI
11-2,KAVALA
34-2,KARDITSA
30-2,KATERINI
16-2,KERATSINI (PPC)
3-2,KILKIS
14-2,KOKKINA
26-2,KOMOTINI
12-2,KOMOTINI (PPC)
5-2,KOSMIO
27-2,LAMIA
22-2,LARISSA
17-2,LAVRIO (PPC)
44-2,MEGALOPOLI (PPC)
32-2,MOTOR OIL
39-2,MOTOR OIL II
10-2,XANTHI
23-2,INOFYTA
18-2,PLATY
31-2,SALFA ANTHOUSSA
19-2,SALFA ANO LIOSSIA
15-2,SERRES
2-2,SIDIROKASTRO-EXIT
29-2,SPATA
35-2,TRIKALA
59-2,FARSALA
